train_set,stim_id,sums_feat,category,correct_key,gen_file,train_item,train_runs.thisRepN,train_runs.thisTrialN,train_runs.thisN,train_runs.thisIndex,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,test_runs.thisRepN,test_runs.thisTrialN,test_runs.thisN,test_runs.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,welcome_key.keys,welcome_key.rt,welcome_key.started,welcome_key.stopped,train_inst1_key.keys,train_inst1_key.rt,train_inst2_key.keys,train_inst2_key.rt,train_begin_key.keys,train_begin_key.rt,train_key.keys,train_key.corr,train_key.rt,break_key.keys,break_key.rt,key_resp.keys,key_resp.rt,test_inst1_key.keys,test_inst1_key.rt,test_inst2_key.keys,test_inst2_key.rt,test_begin_key.keys,test_begin_key.rt,test_key.keys,test_key.corr,test_key.rt,test_end_key.keys,demo_inst1_key.keys,form.questionWidth,form.type,form.respWidth,form.itemText,form.index,form.font,form.markerColor,form.response,form.rt,form_key.keys,demo_inst2_key.keys,gender_string,age_string,demo4_key.keys,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,34.097997083095834,11.20170741691254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,f,14.5507590000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.51159316697158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.896128833061084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 1 0 1 0 0 1 0 1 1,4,categoryB,j,,,0,0,0,6,0,0,0,9,,,,,,,,,,,,,,,,,,,f,0,1.6363750828895718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 0 0 1 1 1 1 0 0 0,6,categoryA,f,,,0,0,0,6,0,1,1,3,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 0 0 1 0 0 1 0 0 0,8,categoryA,f,,,0,0,0,6,0,2,2,4,,,,,,,,,,,,,,,,,,,j,0,0.19437637482769787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 0 0 0 0 0 0 0 0 1,8,categoryA,f,,,0,0,0,6,0,3,3,0,,,,,,,,,,,,,,,,,,,f,1,0.00779991690069437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 1 0 0 0 0 0 0 1 1,6,categoryA,f,,,0,0,0,6,0,4,4,6,,,,,,,,,,,,,,,,,,,f,1,0.6513485421892256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 1 1 0 0 0 0 1 1 1,4,categoryB,j,,,0,0,0,6,0,5,5,10,,,,,,,,,,,,,,,,,,,f,0,0.566443582996726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 1 1 1 1 1 1 1 1 0,2,categoryB,j,,,0,0,0,6,0,6,6,7,,,,,,,,,,,,,,,,,,,j,1,0.156477167038247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 0 1 1 1 1 1 1 0 0,4,categoryB,j,,,0,0,0,6,0,7,7,13,,,,,,,,,,,,,,,,,,,j,1,0.04155308404006064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 1 0 1 1 1 1 0 1 1,2,categoryB,j,,,0,0,0,6,0,8,8,12,,,,,,,,,,,,,,,,,,,j,1,0.1003553329501301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 0 1 0 1 1 0 1 0 0,6,categoryA,f,,,0,0,0,6,0,9,9,2,,,,,,,,,,,,,,,,,,,j,0,0.3734819160308689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,0 1 0 0 0 0 0 0 1 0,8,categoryA,f,,,0,0,0,6,0,10,10,1,,,,,,,,,,,,,,,,,,,f,1,0.29608833394013345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
_train_cond.csv,1 1 1 0 1 1 0 1 1 1,2,categoryB,j,,,0,0,0,6,0,11,11,11,,,,,,,,,,,,,,,,,,,f,0,0.7614734170492738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,001,2021_Sep_15_1145,joplin1,2021.2.3,60.13046826144607,
