train_set,stim_id,sums_feat,category,correct_key,gen_file,train_item,train_runs.thisRepN,train_runs.thisTrialN,train_runs.thisN,train_runs.thisIndex,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,test_runs.thisRepN,test_runs.thisTrialN,test_runs.thisN,test_runs.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,welcome_key.keys,welcome_key.rt,welcome_key.started,welcome_key.stopped,train_inst1_key.keys,train_inst1_key.rt,train_inst2_key.keys,train_inst2_key.rt,train_begin_key.keys,train_begin_key.rt,train_key.keys,train_key.corr,train_key.rt,break_key.keys,break_key.rt,key_resp.keys,key_resp.rt,test_inst1_key.keys,test_inst1_key.rt,test_inst2_key.keys,test_inst2_key.rt,test_begin_key.keys,test_begin_key.rt,test_key.keys,test_key.corr,test_key.rt,test_end_key.keys,test_end_key.rt,demo_inst1_key.keys,demo_inst1_key.rt,form.questionWidth,form.type,form.respWidth,form.itemText,form.index,form.font,form.markerColor,form.response,form.rt,form_key.keys,form_key.rt,demo_inst2_key.keys,demo_inst2_key.rt,gender_string,age_string,demo4_key.keys,demo4_key.rt,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,48.34998945798725,14.246960333082825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,f,9.804603541037068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.824398333905265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.290109541034326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,0 0 1 1 1 1 1 1 0 0,4,categoryB,j,,,0,0,0,5,0,0,0,13,,,,,,,,,,,,,,,,,,,f,0,0.18284091586247087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,1 1 0 0 0 0 0 0 1 1,6,categoryA,f,,,0,0,0,5,0,1,1,6,,,,,,,,,,,,,,,,,,,j,0,0.23409133404493332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,0 0 1 0 1 1 0 1 0 0,6,categoryA,f,,,0,0,0,5,0,2,2,2,,,,,,,,,,,,,,,,,,,j,0,0.30051900004036725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,0 1 0 0 0 0 0 0 1 0,8,categoryA,f,,,0,0,0,5,0,3,3,1,,,,,,,,,,,,,,,,,,,f,1,0.19346520910039544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,1 0 1 1 1 1 1 1 0 1,2,categoryB,j,,,0,0,0,5,0,4,4,8,,,,,,,,,,,,,,,,,,,f,0,0.3730132500641048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
_train_cond.csv,1 1 0 1 1 1 1 0 1 1,2,categoryB,j,,,0,0,0,5,0,5,5,12,,,,,,,,,,,,,,,,,,,j,1,0.29764633416198194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,002,2021_Sep_17_1136,joplin1,2021.2.3,60.250930018062405,
