train_set,stim_id,sums_feat,category,correct_key,gen_file,train_item,train_runs.thisRepN,train_runs.thisTrialN,train_runs.thisN,train_runs.thisIndex,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,test_runs.thisRepN,test_runs.thisTrialN,test_runs.thisN,test_runs.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,welcome_key.keys,welcome_key.rt,welcome_key.started,welcome_key.stopped,train_inst1_key.keys,train_inst1_key.rt,train_inst2_key.keys,train_inst2_key.rt,train_begin_key.keys,train_begin_key.rt,train_key.keys,train_key.corr,train_key.rt,break_key.keys,break_key.rt,key_resp.keys,key_resp.rt,test_inst1_key.keys,test_inst1_key.rt,test_inst2_key.keys,test_inst2_key.rt,test_begin_key.keys,test_begin_key.rt,test_key.keys,test_key.corr,test_key.rt,test_end_key.keys,test_end_key.rt,demo_inst1_key.keys,demo_inst1_key.rt,form.questionWidth,form.type,form.respWidth,form.itemText,form.index,form.font,form.markerColor,form.response,form.rt,form_key.keys,form_key.rt,demo_inst2_key.keys,demo_inst2_key.rt,gender_string,age_string,demo4_key.keys,demo4_key.rt,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,22.550705041037872,271.14033537497744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
,,,,,,,,,,,,,,,,,,,,,,,,,,,j,11.33832308393903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.243878457928076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.463872083928436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 0 0 0 0 0 0 0 0 1,2,categoryB,j,,,0,0,0,2,0,0,0,7,,,,,,,,,,,,,,,,,,,f,0,0.6714127920567989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 0 1 0 1 1 0 1 0 0,4,categoryB,j,,,0,0,0,2,0,1,1,9,,,,,,,,,,,,,,,,,,,f,0,0.3372910001780838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 1 0 0 0 0 0 0 1 0,2,categoryB,j,,,0,0,0,2,0,2,2,8,,,,,,,,,,,,,,,,,,,j,1,0.26579479197971523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 0 0 1 1 1 1 0 0 0,4,categoryB,j,,,0,0,0,2,0,3,3,10,,,,,,,,,,,,,,,,,,,j,1,0.28610779205337167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 0 1 1 1 1 1 1 0 0,6,categoryA,f,,,0,0,0,2,0,4,4,6,,,,,,,,,,,,,,,,,,,j,0,0.2153249999973923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 1 0 1 1 1 1 0 1 1,8,categoryA,f,,,0,0,0,2,0,5,5,5,,,,,,,,,,,,,,,,,,,f,1,0.4363184589892626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 0 0 1 0 0 1 0 0 0,2,categoryB,j,,,0,0,0,2,0,6,6,11,,,,,,,,,,,,,,,,,,,j,1,0.3447144578676671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 1 1 1 1 1 1 1 1 0,8,categoryA,f,,,0,0,0,2,0,7,7,0,,,,,,,,,,,,,,,,,,,j,0,0.27267729211598635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 1 1 0 1 1 0 1 1 1,8,categoryA,f,,,0,0,0,2,0,8,8,4,,,,,,,,,,,,,,,,,,,f,1,0.2910114589612931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,0 0 1 0 0 0 0 1 0 0,2,categoryB,j,,,0,0,0,2,0,9,9,12,,,,,,,,,,,,,,,,,,,j,1,0.2932764170691371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 1 0 0 0 0 0 0 1 1,4,categoryB,j,,,0,0,0,2,0,10,10,13,,,,,,,,,,,,,,,,,,,f,0,0.3515069999266416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 1 0 1 0 0 1 0 1 1,6,categoryA,f,,,0,0,0,2,0,11,11,2,,,,,,,,,,,,,,,,,,,f,1,0.31878029205836356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
_train_cond.csv,1 1 1 0 0 0 0 1 1 1,6,categoryA,f,,,0,0,0,2,0,12,12,3,,,,,,,,,,,,,,,,,,,f,1,0.26408287486992776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,002,2021_Sep_24_0914,joplin1,2021.2.3,59.83572103779843,
