train_set,stim_id,sums_feat,category,correct_key,gen_file,train_item,train_runs.thisRepN,train_runs.thisTrialN,train_runs.thisN,train_runs.thisIndex,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,test_runs.thisRepN,test_runs.thisTrialN,test_runs.thisN,test_runs.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,welcome_key.keys,welcome_key.rt,welcome_key.started,welcome_key.stopped,train_inst1_key.keys,train_inst1_key.rt,train_inst2_key.keys,train_inst2_key.rt,train_begin_key.keys,train_begin_key.rt,train_key.keys,train_key.corr,train_key.rt,break_key.keys,break_key.rt,key_resp.keys,key_resp.rt,test_inst1_key.keys,test_inst1_key.rt,test_inst2_key.keys,test_inst2_key.rt,test_begin_key.keys,test_begin_key.rt,test_key.keys,test_key.corr,test_key.rt,test_end_key.keys,demo_inst1_key.keys,form.questionWidth,form.type,form.respWidth,form.itemText,form.index,form.font,form.markerColor,form.response,form.rt,form_key.keys,demo_inst2_key.keys,gender_string,age_string,demo4_key.keys,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,13.845198417082429,10.828840041067451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
,,,,,,,,,,,,,,,,,,,,,,,,,,,f,12.429894916946068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.278480249922723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2699524580966681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,1 1 0 1 0 0 1 0 1 1,4,categoryB,j,,,0,0,0,1,0,0,0,9,,,,,,,,,,,,,,,,,,,f,0,1.2104170829989016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,0 0 1 1 1 1 1 1 0 0,4,categoryB,j,,,0,0,0,1,0,1,1,13,,,,,,,,,,,,,,,,,,,j,1,0.8026787089183927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,0 1 1 1 1 1 1 1 1 0,2,categoryB,j,,,0,0,0,1,0,2,2,7,,,,,,,,,,,,,,,,,,,j,1,0.1756250828038901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,0 0 0 1 0 0 1 0 0 0,8,categoryA,f,,,0,0,0,1,0,3,3,4,,,,,,,,,,,,,,,,,,,j,0,0.8126832919660956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,1 0 0 0 0 0 0 0 0 1,8,categoryA,f,,,0,0,0,1,0,4,4,0,,,,,,,,,,,,,,,,,,,f,1,0.37445737491361797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
_train_cond.csv,1 0 1 1 1 1 1 1 0 1,2,categoryB,j,,,0,0,0,1,0,5,5,8,,,,,,,,,,,,,,,,,,,j,1,0.32916862494312227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,001,2021_Sep_20_1516,joplin1,2021.2.3,59.6183233085759,
