train_set,stim_id,sums_feat,category,correct_key,gen_file,train_item,train_runs.thisRepN,train_runs.thisTrialN,train_runs.thisN,train_runs.thisIndex,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,test_runs.thisRepN,test_runs.thisTrialN,test_runs.thisN,test_runs.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,welcome_key.keys,welcome_key.rt,welcome_key.started,welcome_key.stopped,train_inst1_key.keys,train_inst1_key.rt,train_inst2_key.keys,train_inst2_key.rt,train_begin_key.keys,train_begin_key.rt,train_key.keys,train_key.corr,train_key.rt,break_key.keys,break_key.rt,key_resp.keys,key_resp.rt,test_inst1_key.keys,test_inst1_key.rt,test_inst2_key.keys,test_inst2_key.rt,test_begin_key.keys,test_begin_key.rt,test_key.keys,test_key.corr,test_key.rt,test_end_key.keys,demo_inst1_key.keys,form.questionWidth,form.type,form.respWidth,form.itemText,form.index,form.font,form.markerColor,form.response,form.rt,form_key.keys,demo_inst2_key.keys,gender_string,age_string,demo4_key.keys,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,0.5031867500001681,11.978203625003516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.3863555419993645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43426104199897964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4523410000001604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 0 0 0 0 0 0 1 1,6,categoryA,f,,,0,0,0,6,0,0,0,6,,,,,,,,,,,,,,,,,,,j,0,0.3341716249997262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 0 1 1 1 1 0 0 0,6,categoryA,f,,,0,0,0,6,0,1,1,3,,,,,,,,,,,,,,,,,,,f,1,0.38014258300245274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 0 0 0 0 0 0 0 0 1,8,categoryA,f,,,0,0,0,6,0,2,2,0,,,,,,,,,,,,,,,,,,,f,1,1.208719458001724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 0 1 1 1 1 0 1 1,2,categoryB,j,,,0,0,0,6,0,3,3,12,,,,,,,,,,,,,,,,,,,f,0,0.8496421670024574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 1 1 1 1 1 1 1 1 0,2,categoryB,j,,,0,0,0,6,0,4,4,7,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 0 1 1 1 1 1 1 0 1,2,categoryB,j,,,0,0,0,6,0,5,5,8,,,,,,,,,,,,,,,,,,,j,1,0.5802013749998878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 1 0 0 0 0 1 0 0,8,categoryA,f,,,0,0,0,6,0,6,6,5,,,,,,,,,,,,,,,,,,,f,1,1.6694599590009602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 1 0 1 1 0 1 1 1,2,categoryB,j,,,0,0,0,6,0,7,7,11,,,,,,,,,,,,,,,,,,,j,1,0.9373215419982444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 1 0 1 1 0 1 0 0,6,categoryA,f,,,0,0,0,6,0,8,8,2,,,,,,,,,,,,,,,,,,,f,1,0.6931696659994486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 1 0 0 0 0 1 1 1,4,categoryB,j,,,0,0,0,6,0,9,9,10,,,,,,,,,,,,,,,,,,,j,1,1.487772959000722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 1 1 1 1 1 1 0 0,4,categoryB,j,,,0,0,0,6,0,10,10,13,,,,,,,,,,,,,,,,,,,j,1,0.4986239999998361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 0 1 0 0 1 0 0 0,8,categoryA,f,,,0,0,0,6,0,11,11,4,,,,,,,,,,,,,,,,,,,f,1,1.2160893330001272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 0 1 0 0 1 0 1 1,4,categoryB,j,,,0,0,0,6,0,12,12,9,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 1 0 0 0 0 0 0 1 0,8,categoryA,f,,,0,0,0,6,0,13,13,1,,,,,,,,,,,,,,,,,,,f,1,1.5237757499999134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 0 1 0 0 1 0 0 0,8,categoryA,f,,,0,0,0,6,1,0,14,4,,,,,,,,,,,,,,,,,,,j,0,0.5993139169986534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 0 1 0 0 1 0 1 1,4,categoryB,j,,,0,0,0,6,1,1,15,9,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,1 1 0 0 0 0 0 0 1 1,6,categoryA,f,,,0,0,0,6,1,2,16,6,,,,,,,,,,,,,,,,,,,f,1,0.4992798330022197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
_train_cond.csv,0 0 1 0 1 1 0 1 0 0,6,categoryA,f,,,0,0,0,6,1,3,17,2,,,,,,,,,,,,,,,,,,,j,0,0.15979295800207183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2021_Sep_14_1512,joplin1,2021.2.3,59.7138959155982,
